verb,class
eating,manner
admitting,result
approaching,result
bashing,manner
arriving,result
bellowing,manner
breaking,result
cleaning,result
crawling,manner
clearing,result
coming,result
covering,result
dancing,manner
declaring,result
destroying,result
devouring,result
dying,result
emptying,result
entering,result
fainting,result
falling,result
filling,result
fluttering,manner
freezing,result
going,result
hopping,manner
hitting,manner
increasing,result
jogging,manner
jumping,manner
killing,result
laughing,manner
melting,result
nearing,result
nibbling,manner
opening,result
pouring,manner
proclaiming,result
proposing,result
removing,result
rising,result
rolling,manner
rubbing,manner
running,manner
saying,result
screaming,manner
shattering,result
scouring,manner
scribbling,manner
scrubbing,manner
shaking,manner
shouting,manner
spinning,manner
sweeping,manner
swimming,manner
walking,manner
whisptering,manner
wiping,manner
yelling,manner
